"""des""","""orbit_id""","""jd""","""cd""","""dist""","""dist_min""","""dist_max""","""v_rel""","""v_inf""","""t_sigma_f""","""h""","""fullname"""
"""136795""","""65""","""2458991.406067694""","""2020-May-21 21:45""","""0.0411545391161854""","""0.0411541162873223""","""0.0411549619467422""","""11.6761199257197""","""11.6705736784723""","""< 00:01""","""18.0""","""136795 (1997 BQ)"""
"""153201""","""116""","""2459182.714106554""","""2020-Nov-29 05:08""","""0.0287618678984483""","""0.0287609099965326""","""0.0287628258007809""","""25.0726387403463""","""25.0689436315515""","""< 00:01""","""19.3""","""153201 (2000 WO107)"""
"""163348""","""121""","""2459006.639047829""","""2020-Jun-06 03:20""","""0.0340483555679983""","""0.0340470945348114""","""0.0340496166034632""","""11.1461805768824""","""11.1391575070987""","""< 00:01""","""20.1""","""163348 (2002 NN4)"""
"""388945""","""154""","""2458980.095246360""","""2020-May-10 14:17""","""0.0186720606628177""","""0.0186720175878509""","""0.0186721037377867""","""8.77648823788888""","""8.76021394318554""","""< 00:01""","""20.4""","""388945 (2008 TZ3)"""
"""438908""","""70""","""2458977.012809433""","""2020-May-07 12:18""","""0.0226842894243701""","""0.0226831507877945""","""0.0226854280613029""","""12.7810427734221""","""12.771849353213""","""< 00:01""","""20.5""","""438908 (2009 XO)"""
"""441987""","""119""","""2459024.780342821""","""2020-Jun-24 06:44""","""0.0251191829450262""","""0.025119170171552""","""0.025119195718509""","""12.8869024202131""","""12.8786686817051""","""< 00:01""","""21.4""","""441987 (2010 NY65)"""
"""465824""","""39""","""2459098.859673532""","""2020-Sep-06 08:38""","""0.0495505948796576""","""0.0495492361594033""","""0.0495519536011174""","""14.0418008149185""","""14.0379708049141""","""< 00:01""","""21.7""","""465824 (2010 FR)"""
"""478784""","""41""","""2458985.080720155""","""2020-May-15 13:56""","""0.0217318079294611""","""0.0217317319459278""","""0.0217318839133291""","""3.56512414011612""","""3.53056588076516""","""< 00:01""","""25.5""","""478784 (2012 UV136)"""
"""501647""","""43""","""2459209.347539741""","""2020-Dec-25 20:20""","""0.0201908467048819""","""0.0201899675524607""","""0.0201917259826511""","""10.0103855596615""","""9.9971940874639""","""< 00:01""","""22.3""","""501647 (2014 SD224)"""
"""2000 KA""","""28""","""2458981.972033005""","""2020-May-12 11:20""","""0.0227110489829809""","""0.0227105262139515""","""0.0227115727736159""","""13.4981411428435""","""13.4894467133638""","""< 00:01""","""21.7""","""       (2000 KA)"""
